ID,Discovery / Invention,Field,Ancient Scholar / Source,Century,Description,Impact / Modern Relevance
1,Concept of Zero,Mathematics,Aryabhata,5th Century CE,Foundation of number system and arithmetic operations.,Forms the base of modern computing and digital systems.
2,Ayurveda,Medicine,Charaka,6th Century BCE,"Ancient medical science covering diagnosis, herbs, and healing.","Influences holistic health, herbal medicine, and wellness industries."
3,Sushruta Samhita,Surgery,Sushruta,6th Century BCE,Earliest known text on surgical procedures and instruments.,Considered a reference for modern plastic and reconstructive surgery.
4,Iron Pillar of Delhi,Metallurgy,Gupta Period Engineers,4th Century CE,Rust-resistant iron structure demonstrating advanced metallurgy.,Inspires modern corrosion-resistant metal production.
5,Decimal System,Mathematics,Brahmagupta,7th Century CE,Base-10 numerical notation used globally today.,"Integral to mathematics, finance, and digital computation."
6,Plastic Surgery,Medicine,Sushruta,6th Century BCE,Described facial reconstruction techniques.,Adopted in modern cosmetic and reconstructive surgery.
7,Wootz Steel,Metallurgy,Tamilakam Region,3rd Century BCE,Early form of high-carbon steel exported worldwide.,Basis for Damascus steel used in advanced metallurgy.
8,Astronomy of Aryabhata,Astronomy,Aryabhata,5th Century CE,Explained Earth’s rotation and calculated π value.,Foundation for modern astronomy and orbital science.
9,Stepwell Architecture,Engineering,Ancient Indian Builders,10th Century CE,Water-conservation structures built for arid regions.,Model for sustainable water management systems.
10,Panchatantra,Literature,Vishnu Sharma,3rd Century BCE,Moral tales teaching wisdom through animal stories.,Basis for global children’s literature and moral education.
11,Zinc Extraction,Metallurgy,Rasaratna Samuccaya,13th Century CE,Described zinc distillation and metal purification.,Laid groundwork for industrial metal extraction techniques.
12,Yoga Sutras,Philosophy,Patanjali,2nd Century BCE,Compilation of mental and physical discipline practices.,Promoted globally for mental health and fitness.
13,Navigation Techniques,Science & Engineering,Mariners of Lothal,3rd Millennium BCE,Early evidence of dockyard design and water transport.,Foundation for modern naval architecture and maritime trade.
14,Decimal Fractions,Mathematics,Bhaskara II,12th Century CE,System for representing fractional numbers.,"Used in financial, scientific, and computational fields."
15,Rasayana,Chemistry,Nagarjuna,10th Century CE,Ancient alchemical methods and material transformation.,Related to modern chemical processing and metallurgy.
16,Astronomy of Varahamihira,Astronomy,Varahamihira,6th Century CE,Documented planetary movements and weather prediction.,Basis for Indian astrology and meteorological studies.
17,Temple Architecture,Architecture,Chola Dynasty Builders,11th Century CE,Precision-built temples with geometric alignment.,Inspires modern architectural symmetry and heritage preservation.
18,Chess (Chaturanga),Games,Gupta Dynasty,6th Century CE,Strategic war simulation board game.,"Evolved into modern chess, popular worldwide."
19,Sanskrit Grammar,Linguistics,Panini,4th Century BCE,Structured grammar rules and linguistic patterns.,Basis for modern language processing and AI linguistics.
20,Cotton Spinning & Weaving,Textile Engineering,Indus Valley Civilization,3rd Millennium BCE,Early cotton production and fabric trade system.,Influenced global textile and fashion industries.
